Name,From,To,Requirements,Traits,Base Difficulty
Start,Initial,Rabanastre,,,0
Rabanastre <-> Lowtown North End,Rabanastre,Lowtown,,BothWays,0
Rabanastre <-> Lowtown East End,Rabanastre,Lowtown,,BothWays,0
Rabanastre <-> Lowtown Southgate,Rabanastre,Lowtown,,BothWays,0
Rabanastre <-> Giza Dry,Rabanastre,Giza Plains Dry,,BothWays,1
Rabanastre <-> Giza Rains,Rabanastre,Giza Plains Rains,I(80E0),BothWays,1
Rabanastre <-> Estersand,Rabanastre,Dalmasca Estersand,,BothWays,1
Rabanastre <-> Westersand,Rabanastre,Dalmasca Westersand,,BothWays,1
Rabanastre <-> Clan Hall,Rabanastre,Clan Hall,I(8071),BothWays,0
Lowtown <-> Garamsythe,Lowtown,Garamsythe Waterway,,BothWays,0
Lowtown -> Royal Palace,Lowtown,Royal Palace,I(8080),,1
Royal Palace -> Nalbina Dungeon,Royal Palace,Nalbina Dungeon,,,1
Nalbina Dungeon -> Barheim Passage Shop,Nalbina Dungeon,Barheim Passage Shop,,,1
Royal Palace -> Barheim Passage Story,Royal Palace,Barheim Passage Story,,,1
Barheim Passage Story -> Estersand,Barheim Passage Story,Dalmasca Estersand,,,1
Barheim Passage -> Garamsythe,Barheim Passage,Garamsythe Waterway,A(Barheim Passage),,4
Estersand <-> Barheim Passage,Barheim Passage,Dalmasca Estersand,I(8093),BothWays,4
Estersand <-> Nalbina,Dalmasca Estersand,Nalbina Fortress,,BothWays,1
Estersand <-> Giza Dry,Dalmasca Estersand,Giza Plains Dry,,BothWays,1
Estersand <-> Giza Rains,Dalmasca Estersand,Giza Plains Rains,I(80E0),BothWays,1
Estersand -> Estersand North,Dalmasca Estersand,Dalmasca Estersand North,AND(I(8073)|I(Defeat Vossler)),,1
Estersand North <-> Westersand,Dalmasca Estersand North,Dalmasca Westersand,I(Defeat Earth Tyrant),BothWays,4
Estersand North <-> Mosphoran,Dalmasca Estersand North,Mosphoran Highwaste,,BothWays,2
Westersand <-> Zertinan NE,Dalmasca Westersand,Zertinan Caverns NE,,BothWays,1
Westersand <-> Giza Dry,Dalmasca Westersand,Giza Plains Dry,,BothWays,1
Westersand <-> Giza Rains,Dalmasca Westersand,Giza Plains Rains,I(80E0),BothWays,1
Westersand <-> Ogir Sandsea,Dalmasca Westersand,Ogir-Yensa Sandsea,I(Defeat Ghis),BothWays,1
Barheim Passage -> Barheim Passage Shop,Barheim Passage,Barheim Passage Shop,,,1
Nalbina <-> Mosphoran,Nalbina Fortress,Mosphoran Highwaste,I(Defeat Bergan),BothWays,2
Mosphoran -> Mosphoran Upper,Mosphoran Highwaste,Mosphoran Highwaste Upper,I(Defeat Bergan),,2
Mosphoran <-> Salikawood,Mosphoran Highwaste,Salikawood,,BothWays,2
Salikawood <-> Salikawood NW,Salikawood,Salikawood NW,,BothWays,5
Ogir Sandsea <-> Zertinan N,Ogir-Yensa Sandsea,Zertinan Caverns N,,BothWays,1
Ogir Sandsea <-> Zertinan Connector N,Ogir-Yensa Sandsea,Zertinan Caverns Connector N,,BothWays,1
Ogir Sandsea <-> Nam Sandsea N,Ogir-Yensa Sandsea,Nam-Yensa Sandsea,,BothWays,1
Ogir Sandsea <-> Nam Sandsea S,Ogir-Yensa Sandsea,Nam-Yensa Sandsea,,BothWays,1
Nam Sandsea Belito <-> Zertinan Connector N,Nam-Yensa Sandsea Belito,Zertinan Caverns Connector N,,BothWays,1
Nam Sandsea <-> Zertinan NW,Nam-Yensa Sandsea,Zertinan Caverns NW,,BothWays,1
Nam Sandsea <-> Raithwall,Nam-Yensa Sandsea,Tomb of Raithwall,,BothWays,1
Zertinan N -> Zertinan Center,Zertinan Caverns N,Zertinan Caverns Center,,,3
Zertinan Center <-> Zertinan NE,Zertinan Caverns Center,Zertinan Caverns NE,I(80E0),BothWays,3
