Name,ID,Rank,Upgrade,Category
Potion,0000,1,0001,Item
Hi-Potion,0001,4,0002,Item
X-Potion,0002,7,0005,Item
Ether,0003,3,0004,Item
Hi-Ether,0004,7,0005,Item
Elixir,0005,10,0015,Item
Phoenix Down,0006,3,,Item
Gold Needle,0007,1,0010,Item
Echo Herbs,0008,1,0010,Item
Antidote,0009,1,0010,Item
Eye Drops,000A,1,0010,Item
Prince's Kiss,000B,1,0010,Item
Handkerchief,000C,2,,Item
Chronos Tear,000D,2,,Item
Nu Khai Sand,000E,2,,Item
Serum,000F,3,,Item
Remedy,0010,5,,Item
Soleil Fang,0011,2,,Item
Rime Fang,0012,2,,Item
Lightning Fang,0013,2,,Item
Bacchus's Wine,0014,3,,Item
Megalixir,0015,11,,Item
Baltoro Seed,0016,11,,Item
Domaine Calvados,0017,10,0016,Item
Dark Energy,0018,11,,Item
Meteorite A,0019,2,001A,Item
Meteorite B,001A,5,001B,Item
Meteorite C,001B,7,001C,Item
Meteorite D,001C,10,,Item
Reverse Mote,002A,4,,Item
Dark Mote,002B,2,,Item
Aero Mote,002C,3,,Item
Aquara Mote,002D,4,,Item
Bio Mote,002E,5,,Item
Shock Mote,002F,7,,Item
Holy Mote,0030,8,,Item
Scathe Mote,0031,8,,Item
Balance Mote,0032,4,,Item
Gravity Mote,0033,3,,Item
Cura Mote,0034,5,,Item
Dispel Mote,0035,4,,Item
Aeroga Mote,0036,4,,Item
Warp Mote,0037,4,,Item
Bubble Mote,0038,4,,Item
Hastega Mote,0039,4,,Item
Reflectga Mote,003A,4,,Item
Vanishga Mote,003B,4,,Item
Float Mote,003C,4,,Item
Eksir Berries,003D,0,,Item
Dark Matter,003E,10,,Item
Knot of Rust,003F,2,,Item
Broadsword,1001,1,10A8,Weapon
Longsword,1002,1,1001,Weapon
Iron Sword,1003,2,1004,Weapon
Zwill Blade,1004,2,1005,Weapon
Ancient Sword,1005,3,1007,Weapon
Blood Sword,1006,4,100B,Weapon
Lohengrin,1007,3,1008,Weapon
Flametongue,1008,4,1009,Weapon
Demonsbane,1009,4,100A,Weapon
Icebrand,100A,4,1006,Weapon
Platinum Sword,100B,5,100C,Weapon
Bastard Sword,100C,5,100D,Weapon
Diamond Sword,100D,6,100E,Weapon
Runeblade,100E,6,100F,Weapon
Deathbringer,100F,7,1010,Weapon
Stoneblade,1010,7,1011,Weapon
Durandal,1011,7,10C0,Weapon
Claymore,1012,6,1013,Weapon
Defender,1013,6,1014,Weapon
Save the Queen,1014,6,1015,Weapon
Ragnarok,1015,7,1016,Weapon
Ultima Blade,1016,7,1018,Weapon
Excalibur,1017,10,10AD,Weapon
Tournesol,1018,9,1017,Weapon
Kotetsu,1019,1,101A,Weapon
Osafune,101A,2,101B,Weapon
Kogarasumaru,101B,3,101C,Weapon
Magoroku,101C,4,101D,Weapon
Murasame,101D,5,101E,Weapon
Kiku-ichimonji,101E,6,101F,Weapon
Yakei,101F,7,1020,Weapon
Ame-no-Murakumo,1020,7,1021,Weapon
Muramasa,1021,8,1022,Weapon
Masamune,1022,9,,Weapon
Ashura,1023,5,1024,Weapon
Sakura-saezuri,1024,5,1025,Weapon
Kagenui,1025,6,1026,Weapon
Koga Blade,1026,6,1027,Weapon
Iga Blade,1027,6,1028,Weapon
Orochi,1028,7,1029,Weapon
Yagyu Darkblade,1029,8,10AB,Weapon
Javelin,102A,1,102B,Weapon
Spear,102B,2,102C,Weapon
Partisan,102C,3,102D,Weapon
Heavy Lance,102D,4,102E,Weapon
Storm Spear,102E,4,102F,Weapon
Obelisk,102F,5,1030,Weapon
Halberd,1030,5,1031,Weapon
Trident,1031,6,1032,Weapon
Holy Lance,1032,7,1033,Weapon
Gungnir,1033,7,1034,Weapon
Dragon Whisker,1034,8,1035,Weapon
Zodiac Spear,1035,10,10AE,Weapon
Oaken Pole,1036,1,1037,Weapon
Cypress Pole,1037,2,1038,Weapon
Battle Bamboo,1038,3,1039,Weapon
Musk Stick,1039,3,103A,Weapon
Iron Pole,103A,4,103B,Weapon
Six-fluted Pole,103B,5,103C,Weapon
Gokuu Pole,103C,5,103D,Weapon
Zephyr Pole,103D,6,103E,Weapon
Ivory Pole,103E,6,103F,Weapon
Sweep,103F,6,1040,Weapon
Eight-fluted Pole,1040,7,1041,Weapon
Whale Whisker,1041,8,10C6,Weapon
Shortbow,1042,1,1043,Weapon
Silver Bow,1043,1,1044,Weapon
Aevis Killer,1044,2,1045,Weapon
Killer Bow,1045,3,1046,Weapon
Longbow,1046,4,1047,Weapon
Elfin Bow,1047,4,1048,Weapon
Loxley Bow,1048,5,1049,Weapon
Giant Stonebow,1049,5,104A,Weapon
Burning Bow,104A,6,104B,Weapon
Traitor's Bow,104B,6,104C,Weapon
Yoichi Bow,104C,6,104D,Weapon
Perseus Bow,104D,7,104E,Weapon
Artemis Bow,104E,7,104F,Weapon
Sagittarius,104F,8,10C7,Weapon
Bowgun,1050,1,1051,Weapon
Crossbow,1051,2,1052,Weapon
Paramina Crossbow,1052,3,1053,Weapon
Recurve Crossbow,1053,4,1054,Weapon
Hunting Crossbow,1054,6,1055,Weapon
Penetrator Crossbow,1055,8,1056,Weapon
Gastrophetes,1056,8,10B0,Weapon
Altair,1057,1,1058,Weapon
