,,Shades of Black,,Quickening 2,,,Quickening 1,,,,
,,Cúchulainn,,Shear,,Infuse,Gambit Slots 1,,,,
,,Last Stand,Heavy Armor 3,Martyr,Heavy Armor 2,Heavy Armor 1,Essentials,Accessories 1,,,
,Shemhazai,Gambit Slots 2,Axes & Hammers 3,Inquisitor,Axes & Hammers 2,Shields 1,Axes & Hammers 1,Accessories 2,,,
HP Lore 3,Quickening 3,Axes & Hammers 4,,Shield Block 1,Shields 2,,Accessories 3,,,,
,,Heavy Armor 4,,Adrenaline,Shields 3,,Battle Lore 1,Belias,Horology,,
Heavy Armor 5,Swiftness 1,Sight Unseeing,,Headsman,Shield Block 2,,Accessories 4,Second Board,,,
Exodus,,Spellbound,,Shields 4,Hand-bombs 1,,HP Lore 2,Hashmal,Swiftness 2,Ultima,
Magick Lore 1,Zeromus,Expose,,Focus,Hand-bombs 2,,Accessories 5,,Accessories 8,Accessories 9,Zodiark
,,Wither,,Shields 5,,Mateus,HP Lore 4,Accessories 6,Accessories 7,Battle Lore 2,
,,Genji Armor,,Adrammelech,,,Zalera,,Famfrit,HP Lore 6,Chaos
,,Addle,Quickening 4,Battle Lore 3,,,Traveler,,Magick Lore 2,,
,,Accessories 10,,,,,,,,,
