,Souleater,Adrenaline,,Quickening 2,,,,,,,
KNT White Magick 1,Mateus,Heavy Armor 2,Headsman,Heavy Armor 3,Shields 2,Heavy Armor 4,,,,,
,Martyr,Shield Block 1,Swords 2,,Swords 3,Shields 3,Battle Lore 1,Quickening 3,,,
,Inquisitor,Shields 1,Belias,Potion Lore 2,Shemhazai,Swords 4,Greatswords 1,,,,
,Gambit Slots 1,Swords 1,Second Board,,,Shield Block 2,Shields 4,,,,
,Heavy Armor 1,Essentials,Accessories 1,,Battle Lore 3,Cúchulainn,Swords 5,Greatswords 2,Exodus,HP Lore 2,
,Last Stand,First Aid,Accessories 2,Accessories 3,,,HP Lore 6,Battle Lore 2,Famfrit,,
,HP Lore 3,,,Accessories 4,Quickening 1,,Sight Unseeing,Swiftness 1,Heavy Armor 5,,
Gambit Slots 2,Infuse,,,Accessories 5,,Zeromus,Spellbound,Shields 5,Genji Armor,Ultima,Telekinesis
,Focus,,Zalera,Accessories 6,Adrammelech,,Chaos,Quickening 4,Greatswords 3,,
,Accessories 10,Accessories 9,Accessories 8,Accessories 7,,,HP Lore 4,Revive,Zodiark,,
,,Hashmal,,,,,,,,,
,,KNT White Magick 2,,,,,,,,,
