,,,,,,,,,HP Lore 2,
,,,,,,,,,Chaos,
MCH Green Magick,,Quickening 2,Belias,Second Board,,Adrammelech,Poach,Magick Lore 1,Battle Lore 1,
Exodus,Gambit Slots 2,Accessories 2,Accessories 1,Light Armor 1,Guns 2,Potion Lore 1,Light Armor 3,Guns 3,Magick Lore 1,Guns 4
Mateus,Martyr,Gambit Slots 1,Essentials,Guns 1,Inquisitor,Light Armor 2,Headsman,,,
,Accessories 3,Libra,Measures 1,,Quickening 1,Light Armor 4,Achilles,Quickening 3,,
,,Zalera,Measures 2,,,Potion Lore 2,Last Stand,,,
,,Accessories 4,Steal,Hashmal,,Light Armor 5,Gil Toss,Famfrit,MCH Time Magick,
,,Phoenix Lore 1,Charm,,,Ether Lore 1,Numerology,Light Armor 6,,HP Lore 4
,,Accessories 5,Remedy Lore 1,Traveler,Remedy Lore 2,Horology,Remedy Lore 3,Swiftness 1,Stamp,Zodiark
,,HP Lore 3,Spellbound,Accessories 6,Accessories 7,Ultima,Accessories 8,Accessories 9,Swiftness 2,
,,HP Lore 6,Shemhazai,Measures 3,Cúchulainn,Magick Lore 4,Quickening 4,,Accessories 10,
,,Zeromus,MCH Hand-bombs,,,,,,,
