,,,Steal,,RDM White Magick 1,,RDM White Magick 2,,HP Lore 1,,,
,,,Hashmal,,Quickening 1,Mateus,Shemhazai,,Quickening 2,,,
,,Accessories 8,Accessories 6,Martyr,Gambit Slots 1,Red Magick 1,Red Magick 2,Red Magick 3,Red Magick 4,Exodus,RDM Heavy Armor,
Channeling 1,Zeromus,Accessories 10,Second Board,Belias,Arcane Magick 1,Green Magick 1,Arcane Magick 2,Green Magick 2,Arcane Magick 3,,,
,,Accessories 9,,,Essentials,Mystic Armor 1,,Cúchulainn,,,,
,,Accessories 7,,,Accessories 1,Maces 1,,Black Magick 5,,,,
,Zalera,Accessories 5,Accessories 4,Accessories 3,Accessories 2,Mystic Armor 2,,,,Famfrit,Battle Lore 2,
,,,Adrammelech,,Shields 1,Maces 2,Mystic Armor 3,Mystic Armor 4,Shields 2,Gambit Slots 2,,
,,,,,,Charge,Maces 3,,Mystic Armor 5,Shields 3,,
,,,,RDM Greatswords 3,,Warmage,HP Lore 2,,Mystic Armor 6,Shields 4,Ultima,RDM Greatswords 1
,,HP Lore 4,,Zodiark,Magick Lore 1,Ether Lore 1,Spellbreaker,Swiftness 1,Serenity,Souleater,,
,,Quickening 4,Shields 5,Magick Lore 3,Magick Lore 2,Inquisitor,Maces 4,Channeling 2,Headsman,HP Lore 3,,
,,,,,,Quickening 3,,,Chaos,Spellbound,,
,,,,,,,,,RDM Greatswords 2,,,
