,,,,Channeling 1,,HP Lore 1,,TIM White Magick,,,,
,,,,Hashmal,,Quickening 2,,Adrammelech,,,,
,,Remedy Lore 2,Headsman,Time Magick 4,Warmage,Gambit Slots 2,Charge,Time Magick 3,Poach,Spellbreaker,,
,,Quickening 3,Horology,Last Stand,Zalera,Swiftness 1,Heavy Armor 3,Heavy Armor 2,Time Magick 2,,,
Battle Lore 3,Exodus,HP Lore 3,Heavy Armor 4,,Ether Lore 2,,Second Board,Magick Lore 1,Time Magick 1,,,
Famfrit,,Spellbound,Serenity,,,,Belias,Heavy Armor 1,Essentials,Gambit Slots 1,Quickening 1,
Heavy Armor 5,Ether Lore 1,Time Magick 5,Stamp,Zeromus,Addle,Shear,,Crossbows 1,Accessories 1,Accessories 2,Remedy Lore 1,
,Magick Lore 2,Channeling 2,Swiftness 2,,,,HP Lore 4,Mateus,Martyr,Inquisitor,Crossbows 2,
,,,,,,,Chaos,,,Accessories 3,,
,,,,Accessories 9,Accessories 8,Accessories 7,Accessories 5,Battle Lore 2,Battle Lore 1,Green Magick 1,Numerology,Shemhazai
,,,,Accessories 10,Green Magick 2,Crossbows 3,Accessories 6,Accessories 4,Cúchulainn,,,
,,,,Zodiark,Quickening 4,,Ultima,,,,,
,,,,TIM Swords 2,,,TIM Swords 1,,,,,
