In Game ID,Name,Type,Notes,LP Cost,Initial Characters,Contents 1,Contents 2,Contents 3,Contents 4,Contents 5,Contents 6,Contents 7,Contents 8
0,Quickening 1,Quickening,Cannot be changed,50,,,,,,,,,
1,Quickening 2,Quickening,Cannot be changed,75,,,,,,,,,
2,Quickening 3,Quickening,Cannot be changed,100,,,,,,,,,
3,Quickening 4,Quickening,Cannot be changed,125,,,,,,,,,
4,Quickening 5,Quickening,Cannot be changed,150,,,,,,,,,
5,Quickening 6,Quickening,Cannot be changed,125,,,,,,,,,
6,Quickening 7,Quickening,Cannot be changed,125,,,,,,,,,
7,Quickening 8,Quickening,Cannot be changed,125,,,,,,,,,
8,Quickening 9,Quickening,Cannot be changed,125,,,,,,,,,
9,Quickening 10,Quickening,Cannot be changed,125,,,,,,,,,
10,Quickening 11,Quickening,Cannot be changed,125,,,,,,,,,
11,Quickening 12,Quickening,Cannot be changed,125,,,,,,,,,
12,Quickening 13,Quickening,Cannot be changed,125,,,,,,,,,
13,Quickening 14,Quickening,Cannot be changed,125,,,,,,,,,
14,Quickening 15,Quickening,Cannot be changed,125,,,,,,,,,
15,Quickening 16,Quickening,Cannot be changed,125,,,,,,,,,
16,Quickening 17,Quickening,Cannot be changed,125,,,,,,,,,
17,Quickening 18,Quickening,Cannot be changed,125,,,,,,,,,
18,Belias,Esper,Cannot be changed,20,,,,,,,,,
19,Mateus,Esper,Cannot be changed,30,,,,,,,,,
20,Adrammelech,Esper,Cannot be changed,35,,,,,,,,,
21,Hashmal,Esper,Cannot be changed,50,,,,,,,,,
22,Cúchulainn,Esper,Cannot be changed,50,,,,,,,,,
23,Famfrit,Esper,Cannot be changed,100,,,,,,,,,
24,Zalera,Esper,Cannot be changed,30,,,,,,,,,
25,Shemhazai,Esper,Cannot be changed,50,,,,,,,,,
26,Chaos,Esper,Cannot be changed,100,,,,,,,,,
27,Zeromus,Esper,Cannot be changed,65,,,,,,,,,
28,Exodus,Esper,Cannot be changed,65,,,,,,,,,
29,Ultima,Esper,Cannot be changed,115,,,,,,,,,
30,Zodiark,Esper,Cannot be changed,200,,,,,,,,,
31,Essentials,EssentialGambit,Cannot be changed,1,Vaan|Balthier|Fran|Basch|Ashe|Penelo,Essentials,,,,,,,
32,Swords 1,Weapon,Condensed,25,Basch|Ashe,Broadsword,Longsword,Iron Sword,Zwill Blade,,,,
33,Swords 2,Weapon,Condensed with Blood Sword,90,,Ancient Sword,Blood Sword,Lohengrin,Flametongue,,,,
34,Swords 3,Weapon,Condensed,175,,Demonsbane,Icebrand,Platinum Sword,Bastard Sword,,,,
35,Swords 4,Weapon,Condensed,200,,Diamond Sword,Runeblade,Deathbringer,Stoneblade,Durandal,,,
36,Swords 5,Weapon,,180,,Simha,Karkata,,,,,,
37,Greatswords 1,Weapon,Condensed with Excalipur,80,,Excalipur,Claymore,Defender,,,,,
38,Greatswords 2,Weapon,Condensed,120,,Save the Queen,Ultima Blade,Ragnarok,,,,,
39,Greatswords 3,Weapon,Condensed ultimate equipment,250,,Excalibur,Tournesol,,,,,,
40,Katana 1,Weapon,Condensed,40,,Kotetsu,Osafune,Kogarasumaru,,,,,
41,Katana 2,Weapon,Condensed,80,,Murasame,Kiku-ichimonji,Yakei,,,,,
42,Katana 3,Weapon,Condensed,125,,Magoroku,Ame-no-Murakumo,Muramasa,,,,,
43,Katana 4,Weapon,Condensed ultimate equipment,250,,Masamune,Kumbha,,,,,,
44,Ninja Swords 1,Weapon,Condensed,80,,Ashura,Sakura-saezuri,Kagenui,,,,,
45,Ninja Swords 2,Weapon,Condensed,150,,Orochi,Iga Blade,Koga Blade,,,,,
46,Ninja Swords 3,Weapon,Condensed,180,,Yagyu Darkblade,Mesa,,,,,,
47,Spears 1,Weapon,Condensed,25,,Javelin,Spear,Partisan,,,,,
48,Spears 2,Weapon,Condensed,60,,Heavy Lance,Storm Spear,Obelisk,Halberd,,,,
49,Spears 3,Weapon,Condensed,140,,Trident,Holy Lance,Gungnir,Dragon Whisker,,,,
50,Spears 4,Weapon,Condensed ultimate equipment,250,,Zodiac Spear,Vrsabha,,,,,,
51,Poles 1,Weapon,Condensed,35,,Oaken Pole,Battle Bamboo,Cypress Pole,,,,,
52,Poles 2,Weapon,Condensed,75,,Musk Stick,Iron Pole,Six-fluted Pole,Gokuu Pole,,,,
53,Poles 3,Weapon,Condensed,110,,Zephyr Pole,Ivory Pole,Sweep,Eight-fluted Pole,,,,
54,Poles 4,Weapon,Condensed ultimate equipment,220,,Whale Whisker,Kanya,,,,,,
55,Bows 1,Weapon,Condensed,35,Fran,Shortbow,Silver Bow,Aevis Killer,,,,,
56,Bows 2,Weapon,Condensed,70,,Longbow,Killer Bow,Elfin Bow,,,,,
57,Bows 3,Weapon,Condensed,110,,Loxley Bow,Giant Stonebow,Burning Bow,,,,,
