ID,Name
0,Rabanastre Chocobo
40,Nalbina Chocobo
42,Mt Bur-Omisace Chocobo
43,Balfonheim Chocobo
46,Phon Coast Chocobo
2,Rabanastre to Archades Skyferry
3,Rabanastre to Nalbina Skyferry
4,Rabanastre to Bhujerba Skyferry
5,Nalbina to Rabanastre Skyferry
6,Nalbina to Archades Skyferry
7,Nalbina to Balfonheim Skyferry
8,Bhujerba to Rabanastre Skyferry
9,Bhujerba to Balfonheim Skyferry
10,Archades to Rabanastre Skyferry
11,Archades to Nalbina Skyferry
12,Archades to Balfonheim Skyferry
13,Balfonheim to Nalbina Skyferry
14,Balfonheim to Bhujerba Skyferry
15,Balfonheim to Archades Skyferry
16,Bhujerba Map
17,Jahara Map
18,Eruyt Village Map
19,Archades Map
20,Balfonheim Map
21,Ozmone Plain Map
23,Paramina Rift Map
24,Cerobi Steppe Map
25,Mt Bur-Omisace Map
26,Dalmasca Estersand Map
27,Dalmasca Westersand Map
28,Giza Plains Map
31,Mosphoran Highwaste Map
34,Phon Coast Map
35,Tchita Uplands Map
38,Lhusu Mines Map
49,Outpost Inn
53,Hunt Club Outfitters 0
54,Hunt Club Outfitters 1
55,Hunt Club Outfitters 2
56,Hunt Club Outfitters 3
57,Hunt Club Outfitters 4
58,Hunt Club Outfitters 5
59,Hunt Club Outfitters 6
60,Hunt Club Outfitters 7
61,Hunt Club Outfitters 8
62,Hunt Club Outfitters 9
63,Hunt Club Outfitters 10
64,Hunt Club Outfitters 11
65,Hunt Club Outfitters 12
66,Hunt Club Outfitters 13
67,Hunt Club Outfitters 14
68,Hunt Club Outfitters 15
69,Hunt Club Outfitters 16
70,Hunt Club Outfitters 17
71,Hunt Club Outfitters 18
72,Hunt Club Outfitters 19
73,Hunt Club Outfitters 20
74,Hunt Club Outfitters 21
75,Hunt Club Outfitters 22
76,Hunt Club Outfitters 23
77,Hunt Club Outfitters 24
78,Hunt Club Outfitters 25
79,Hunt Club Outfitters 26
80,Hunt Club Outfitters 27
81,Hunt Club Outfitters 28
82,Hunt Club Outfitters 29
83,Hunt Club Outfitters 30
117,Pinewood Chop Purchase
