ID,Name,Role,Characters,Traits,Requirements,Incompatible
ade740_00,Adrenaline,COM,,Auto,,
aat540_00,Blindside,COM,lsf,Auto,OR(I(at010_00)|I(c000_at010_00)|I(ma000_00)),
ac004_at540_00,Blindside,COM,v,Auto,OR(I(c004_at010_00)|I(ma000_00)),
ade710_00,Deathblow,COM,,Auto,,
ade730_00,Faultsiphon,COM,,Auto,,
ade700_00,Jeopardize,COM,,Auto,,
aat500_00,Launch,COM,lsf,Auto,OR(I(at010_00)|I(c000_at010_00)),
ade720_00,Lifesiphon,COM,,Auto,,
aat550_00,Powerchain,COM,lszf,Auto,OR(I(at010_00)|I(c000_at010_00)|I(c002_at010_00)|I(ma000_00)),
aat530_00,Ravage,COM,lsf,Auto,OR(I(at520_00)|I(ma020_00)),
ac003_at530_00,Ravage,COM,h,Auto,OR(I(c003_at520_00)|I(ma020_00)),
aat570_00,Scourge,COM,lszf,Auto,OR(I(at010_00)|I(c000_at010_00)|I(c002_at010_00)),
ac003_at570_00,Scourge,COM,h,Auto,I(c003_at010_00),
ac004_at570_00,Scourge,COM,v,Auto,I(c004_at010_00),
aat560_00,Smite,COM,lsf,Auto,OR(I(at010_00)|I(c000_at010_00)),
at010_00,Attack,COM,sf,,,
c000_at010_00,Attack,COM,l,,,
c002_at010_00,Attack,COM,z,,,
c003_at010_00,Attack,COM,h,,,
c004_at010_00,Attack,COM,v,,,
at520_00,Blitz,COM,lsf,,OR(I(at010_00)|I(c000_at010_00)),
c002_at520_00,Blitz,COM,z,,I(c002_at010_00),
c003_at520_00,Blitz,COM,h,,I(c003_at010_00),
ma000_00,Ruin,COM,,,,
ma020_00,Ruinga,COM,,,I(ma000_00),
ade800_00,Fearsiphon,RAV,,Auto,,
ade810_00,Overwhelm,RAV,,Auto,,
ade820_00,Vigor,RAV,,Auto,,
mb400_00,Aero,RAV,,,,
mb410_00,Aerora,RAV,,,,
mb420_00,Aeroga,RAV,,,OR(I(mb400_00)|I(mb100_00)|I(mb000_00)|I(mb200_00)|I(mb300_00)),
mb100_00,Blizzard,RAV,,,,
mb110_00,Blizzara,RAV,,,,
mb120_00,Blizzaga,RAV,,,,
mb000_00,Fire,RAV,,,,
mb010_00,Fira,RAV,,,,
mb020_00,Firaga,RAV,,,,
mb200_00,Thunder,RAV,,,,
mb210_00,Thundara,RAV,,,,
mb220_00,Thundaga,RAV,,,,
mb300_00,Water,RAV,,,,
mb310_00,Watera,RAV,,,,
mb320_00,Waterga,RAV,,,,
at010_40,Aquastrike,RAV,lsf,,,
at010_10,Flamestrike,RAV,lf,,,
c002_at010_10,Flamestrike,RAV,z,,,
at010_20,Froststrike,RAV,lsf,,,
at010_30,Sparkstrike,RAV,lf,,,
c002_at010_30,Sparkstrike,RAV,z,,,
ade110_00,Counter,SEN,lshf,Auto,,
ade600_00,Deathward,SEN,,Auto,,
ade010_00,Evade,SEN,,Auto,,
ade610_00,Fringeward,SEN,,Auto,,
ade620_00,Reprieve,SEN,,Auto,,
ac110_00,Challenge,SEN,,,,
gd210_00,Elude,SEN,,,OR(I(ac100_00)|I(ac110_00)),
gd410_00,Entrench,SEN,sf,,OR(I(ac100_00)|I(ac110_00)),
c003_gd410_00,Entrench,SEN,h,,OR(I(ac100_00)|I(ac110_00)),
c004_gd410_00,Entrench,SEN,v,,OR(I(ac100_00)|I(ac110_00)),
gd110_00,Mediguard,SEN,,,OR(I(ac100_00)|I(ac110_00)),
ac100_00,Provoke,SEN,,,,
gd010_00,Steelguard,SEN,,,OR(I(ac100_00)|I(ac110_00)),
gd310_00,Vendetta,SEN,sf,,OR(I(ac100_00)|I(ac110_00)),
c002_gd310_00,Vendetta,SEN,z,,OR(I(ac100_00)|I(ac110_00)),
c003_gd310_00,Vendetta,SEN,h,,OR(I(ac100_00)|I(ac110_00)),
ade850_00,Boon,SYN,,Auto,,
me530_00,Barfire,SYN,,,,
me540_00,Barfrost,SYN,,,,
me550_00,Barthunder,SYN,,,,
me560_00,Barwater,SYN,,,,
me030_00,Enfire,SYN,,,,
me040_00,Enfrost,SYN,,,,
me050_00,Enthunder,SYN,,,,
me060_00,Enwater,SYN,,,,
me000_00,Bravery,SYN,,,,me200_00
me200_00,Bravera,SYN,,,,me000_00
me010_00,Faith,SYN,,,,me210_00
me210_00,Faithra,SYN,,,,me010_00
me500_00,Protect,SYN,,,,me700_00
me700_00,Protectra,SYN,,,,me500_00
me510_00,Shell,SYN,,,,me710_00
me710_00,Shellra,SYN,,,,me510_00
me020_00,Haste,SYN,,,,
me520_00,Veil,SYN,,,,
me070_00,Vigilance,SYN,,,,
ade900_00,Jinx,SAB,,Auto,,
mg530_00,Curse,SAB,,,,
mg730_00,Cursega,SAB,,,,
mg540_00,Daze,SAB,,,,
mg740_00,Dazega,SAB,,,,
mg000_00,Deprotect,SAB,,,,
mg200_00,Deprotega,SAB,,,,
mg010_00,Deshell,SAB,,,,
mg210_00,Deshellga,SAB,,,,
mg510_00,Fog,SAB,,,,
mg710_00,Fogga,SAB,,,,
mg030_00,Imperil,SAB,,,,
mg230_00,Imperilga,SAB,,,,
mg520_00,Pain,SAB,,,,
mg720_00,Painga,SAB,,,,
mg020_00,Poison,SAB,,,,
mg220_00,Poisonga,SAB,,,,
mg500_00,Slow,SAB,,,,
mg700_00,Slowga,SAB,,,,
mg240_00,Dispel,SAB,,,,
mw000_00,Cure,MED,,,,
mw010_00,Cura,MED,,,I(mw000_00),
mw020_00,Curasa,MED,,,,
mw030_00,Curaja,MED,,,I(mw020_00),
mw200_00,Esuna,MED,,,OR(I(mw000_00)|I(mw020_00)),
mw100_00,Raise,MED,,,OR(I(mw000_00)|I(mw020_00)),
tp300_00,Dispelga,,,Required,,
tp100_00,Libra,,,Required,,
tp400_00,Quake,,,Required,,
tp000_00,Renew,,,Required,,
tp200_00,Stopga,,,Required,,
c000_at900_00,Army Of One,RAV,l,Required,,
c002_at900_00,Cold Blood,RAV,z,Required,,
ms400_00,Death,SAB,v,Required,,
c005_at900_00,Highwind,COM,f,Required,,
ms200_00,Last Resort,RAV,h,Required,,
c001_at900_00,Sovereign Fist,COM,s,Required,,
