Name,ID,Strength Mult,Magic Mult,Display Name ID,Help ID,Stat Initial,Stat Type 1,Stat Type 2,Max Value,b: b^(rank-1),p: p*(rank-1),Upgrade
None,,1,1,,,0,0,0,0,1,0,
Uncapped HP/Damage,slimit,0.6,0.6,,$limith,0,0,0,0,1,0,
Attack ATB Charge,awp_c000_000,0.4,0.4,,$awp_c000_000h,0,0,0,0,1,0,Attack ATB Charge II
Attack ATB Charge II,awp_c000_050,0.4,0.4,,$awp_c000_050h,0,0,0,0,1,0,
Improved Raise,awp_c000_100,0.55,0.95,,$awp_c000_100h,0,0,0,0,1,0,Improved Raise II
Improved Raise II,awp_c000_150,0.55,0.95,,$awp_c000_150h,0,0,0,0,1,0,
Leadenstrike,awp_all_100,1.3,1.3,,$awp_all_100h,0,0,0,0,1,0,Ironstrike
Ironstrike,awp_all_150,1.3,1.3,,$awp_all_150h,0,0,0,0,1,0,
Stagger Lock,awp_all_000,0.9,0.9,,$awp_all_000h,0,0,0,0,1,0,
Quick Stagger,awp_c000_200,0.6,0.6,,$awp_c000_200h,0,0,0,0,1,0,
Augment Maintenance,awp_c002_000,0.8,0.8,,$awp_c002_000h,0,0,0,0,1,0,Augment Maintenance II
Augment Maintenance II,awp_c002_050,0.8,0.8,,$awp_c002_050h,0,0,0,0,1,0,
Paper Tiger,,2.4,2.4,$awp_all_400,$awp_all_400h,-60,3,1,-60,1,0,Silk Tiger
Silk Tiger,,2.4,2.4,$awp_all_450,$awp_all_450h,-40,3,1,-40,1,0,
Chain Bonus Boost,awp_c002_100,0.6,0.6,,$awp_c002_100h,0,0,0,0,1,0,Chain Bonus Boost II
Chain Bonus Boost II,awp_c002_150,0.6,0.6,,$awp_c002_150h,0,0,0,0,1,0,
Stagger Maintenance,awp_c002_200,0.4,0.4,,$awp_c002_200h,0,0,0,0,1,0,Stagger Maintenance II
Stagger Maintenance II,awp_c002_250,0.4,0.4,,$awp_c002_250h,0,0,0,0,1,0,
Improved Guard,awp_c001_000,0.85,0.65,,$awp_c001_000h,0,0,0,0,1,0,Improved Guard II
Improved Guard II,awp_c001_050,0.85,0.65,,$awp_c001_050h,0,0,0,0,1,0,
Critical Power Surge,awp_c001_100,0.6,0.6,,$awp_c001_100h,0,0,0,0,1,0,Critical Power Surge II
Critical Power Surge II,awp_c001_150,0.6,0.6,,$awp_c001_150h,0,0,0,0,1,0,
Enfeeblement,awp_all_200,0,1.5,,$awp_all_200h,0,0,0,0,1,0,Hindrance
Hindrance,awp_all_250,0,1.5,,$awp_all_250h,0,0,0,0,1,0,
Improved Ward,awp_c001_200,1.1,0.7,,$awp_c001_200h,0,0,0,0,1,0,Improved Ward II
Improved Ward II,awp_c001_250,1.1,0.7,,$awp_c001_250h,0,0,0,0,1,0,
Critical Shield,awp_c003_000,0.8,0.7,,$awp_c003_000h,0,0,0,0,1,0,Critical Shield II
