ID,Name,Location,Required Items,Traits,Difficulty
z_ran_lig_com,Lightning Commando Role,Initial,,Same,1
z_ran_lig_rav,Lightning Ravager Role,Initial,,,1
z_ran_fan_com,Fang Commando Role,Initial,,Same,1
z_ran_fan_sen,Fang Sentinel Role,Initial,,,1
z_ran_fan_sab,Fang Saboteur Role,Initial,,,1
z_ran_saz_rav,Sazh Ravager Role,Initial,,Same,1
z_ran_hop_rav,Hope Ravager Role,Initial,,Same,1
z_ran_hop_syn,Hope Synergist Role,Initial,,,1
z_ran_hop_med,Hope Medic Role,Initial,,,1
z_ran_van_rav,Vanille Ravager Role,Initial,,Same,1
z_ran_van_med,Vanille Medic Role,Initial,,,1
z_ran_sno_com,Snow Commando Role,Initial,,Same,1
z_ran_sno_rav,Snow Ravager Role,Initial,,,1
z_ran_sno_sen,Snow Sentinel Role,Initial,,,1
z_ini_lig_wea,Lightning's Starting Weapon,Initial,,Same,1
z_ini_fan_wea,Fang's Starting Weapon,Initial,,Same,1
z_ini_saz_wea,Sazh's Starting Weapon,Initial,,Same,1
z_ini_hop_wea,Hope's Starting Weapon,Initial,,Same,1
z_ini_van_wea,Vanille's Starting Weapon,Initial,,Same,1
z_ini_sno_wea,Snow's Starting Weapon,Initial,,Same,1
z_ini_potion,Starting Item,Initial,,,1
z_ini_gil,Starting Gil,Initial,,,1
z_ini_shop,Starting Shop,Initial,,,1
tre_hang_001,Aerorail Trussway 13-E,Hanging Edge,,,1
tre_hang_002,Aerorail Trussway 12-E,Hanging Edge,,,1
tre_hang_003,Aerorail Trussway 12-E,Hanging Edge,,,1
tre_hang_004,Aerorail Trussway 11-E,Hanging Edge,,,1
tre_hang_005,Aerorail Trussway 5-W,Hanging Edge,,,1
tre_hang_006,Aerorail Trussway 6-W,Hanging Edge,,,1
tre_hang_007,Aerorail Trussway 3-N,Hanging Edge,,,1
tre_hang_008,Aerorail Trussway 3-N,Hanging Edge,,,1
tre_hgin_014,Sacrarium,Pulse Vestige,,,1
tre_hgin_001,Sacrarium,Pulse Vestige,,,1
tre_hgin_012,Sacrarium,Pulse Vestige,,,1
tre_hgin_002,Sacrarium,Pulse Vestige,,,1
tre_hgin_011,House of Stairs,Pulse Vestige,,,1
tre_hgin_005,House of Stairs,Pulse Vestige,,,1
tre_hgin_006,Ambulatory,Pulse Vestige,,,1
tre_hgin_003,Ambulatory,Pulse Vestige,,,1
tre_hgin_007,Ambulatory,Pulse Vestige,,,1
tre_hgin_008,Oblatorium,Pulse Vestige,,,1
tre_hgin_010,Anima's Throne,Pulse Vestige,,,1
z_shp_03_06,Chapter 3 Shop Expansion,Lake Bresha,,,2
tre_hgcr_001,The Waters Stilled,Lake Bresha,,,1
tre_hgcr_002,The Waters Stilled,Lake Bresha,,,1
tre_hgcr_004,The Waters Stilled,Lake Bresha,,,1
tre_hgcr_005,Amid Timebound Waves,Lake Bresha,,,1
tre_hgcr_006,Amid Timebound Waves,Lake Bresha,,,1
tre_hgcr_028,Amid Timebound Waves,Lake Bresha,,,1
tre_hgcr_007,Amid Timebound Waves,Lake Bresha,,,1
tre_hgcr_008,Amid Timebound Waves,Lake Bresha,,,1
tre_hgcr_009,Amid Timebound Waves,Lake Bresha,,,1
tre_hgcr_010,Encased in Crystal,Lake Bresha,,,2
tre_hgcr_012,Encased in Crystal,Lake Bresha,,,2
tre_hgcr_011,Encased in Crystal,Lake Bresha,,,2
tre_hgcr_014,Encased in Crystal,Lake Bresha,,,2
tre_hgcr_013,Encased in Crystal,Lake Bresha,,,2
tre_hgcr_015,Encased in Crystal,Lake Bresha,,,2
tre_hgcr_016,Encased in Crystal,Lake Bresha,,,2
tre_hgcr_017,The Frozen Falls,Lake Bresha,,,2
tre_hgcr_030,The Frozen Falls,Lake Bresha,,,2
tre_hgcr_029,The Frozen Falls,Lake Bresha,,,2
tre_hgcr_019,The Mirrored Morass,Lake Bresha,,,2
tre_hgcr_018,The Mirrored Morass,Lake Bresha,,,2
tre_hgcr_020,Gates of Antiquity,Lake Bresha,,,2
tre_hgcr_021,Gates of Antiquity,Lake Bresha,,,2
tre_hgcr_022,Forgotten Commons,Lake Bresha,,,2
tre_hgcr_023,Forgotten Commons,Lake Bresha,,,2
tre_hgcr_024,A City No Longer,Lake Bresha,,,2
tre_hgcr_003,A City No Longer,Lake Bresha,,,2
tre_hgcr_025,A City No Longer,Lake Bresha,,,2
tre_hgcr_027,Echoes of the Past,Lake Bresha,,,2
tre_hgcr_026,Echoes of the Past,Lake Bresha,,,2
z_ran_saz_syn,Sazh Synergist Role,Lake Bresha,,,2
z_ran_van_sab,Vanille Saboteur Role,Lake Bresha,,,2
z_ran_stg_03,Chapter 3 Crystarium Expansion,Lake Bresha,,,3
z_shp_04_06,Chapter 4 Shop Expansion,Vile Peaks,,,1
tre_vpek_001,Wrack and Ruin,Vile Peaks,,,2
tre_vpek_002,Another Man's Treasure,Vile Peaks,,,2
tre_vpek_003,Another Man's Treasure,Vile Peaks,,,2
tre_vpek_005,Munitions Necropolis,Vile Peaks,,,2
tre_vpek_004,Munitions Necropolis,Vile Peaks,,,2
tre_vpek_006,Devastated Dreams,Vile Peaks,,,2
tre_vpek_007,Devastated Dreams,Vile Peaks,,,2
z_ran_lig_med,Lightning Medic Role,Vile Peaks,,,3
z_ran_saz_com,Sazh Commando Role,Vile Peaks,,,3
z_ran_stg_04,Chapter 4 Crystarium Expansion,Vile Peaks,,,4
tre_vpek_010,Scavenger's Trail,Vile Peaks,,,3
tre_vpek_011,Scavenger's Trail,Vile Peaks,,,3
tre_vpek_019,Scavenger's Trail,Vile Peaks,,,3
tre_vpek_012,Scavenger's Trail,Vile Peaks,,,3
tre_vpek_013,Scavenger's Trail,Vile Peaks,,,3
tre_vpek_026,Scavenger's Trail Minigame 0-24,Vile Peaks,,Missable,3
tre_vpek_027,Scavenger's Trail Minigame 25-34,Vile Peaks,,Missable,3
tre_vpek_028,Scavenger's Trail Minigame 35+,Vile Peaks,,Missable,3
tre_vpek_029,Scavenger's Trail Minigame 0-24,Vile Peaks,,Missable,3
tre_vpek_030,Scavenger's Trail Minigame 25-39,Vile Peaks,,Missable,3
tre_vpek_031,Scavenger's Trail Minigame 40+,Vile Peaks,,Missable,3
tre_vpek_020,Scrap Processing,Vile Peaks,,,3
tre_vpek_016,Scrap Processing,Vile Peaks,,,3
tre_vpek_009,Scrap Processing,Vile Peaks,,,3
tre_vpek_017,Scrap Processing,Vile Peaks,,,3
tre_vpek_021,Scrap Processing,Vile Peaks,,,3
tre_vpek_014,Scrap Processing,Vile Peaks,,,3
tre_vpek_015,Scrap Processing,Vile Peaks,,,3
tre_vpek_018,Scrap Processing,Vile Peaks,,,3
z_shp_05_00,Chapter 5 Shop Expansion,Gapra Whitewood,,,1
z_shp_05_06,Chapter 5 Shop Expansion,Gapra Whitewood,,,1
tre_gapr_001,Canopy Wardwalks,Gapra Whitewood,,,3
tre_gapr_002,Research Corridor,Gapra Whitewood,,,3
tre_gapr_003,Bioweapon Research Site D,Gapra Whitewood,,,3
tre_gapr_004,Field Trial Range S,Gapra Whitewood,,,3
tre_gapr_005,Field Trial Range N,Gapra Whitewood,,,3
tre_gapr_006,Environmental Regulation,Gapra Whitewood,,,4
tre_gapr_007,Environmental Regulation,Gapra Whitewood,,,4
tre_gapr_008,Environmental Regulation,Gapra Whitewood,,,4
tre_gapr_009,Bioweapons Maintenance,Gapra Whitewood,,,4
z_ran_stg_05,Chapter 5 Crystarium Expansion,Gapra Whitewood,,,5
z_shp_06_02,Chapter 6 Shop Expansion,Sunleth Waterscape,,,1
z_shp_06_07,Chapter 6 Shop Expansion,Sunleth Waterscape,,,1
tre_snls_001,The Old Growth,Sunleth Waterscape,,,4
tre_snls_002,Sun-dappled Trail,Sunleth Waterscape,,,4
tre_snls_003,Sun-dappled Trail,Sunleth Waterscape,,,4
tre_snls_004,Sun-dappled Trail,Sunleth Waterscape,,,4
tre_snls_005,A Shimmering Sky,Sunleth Waterscape,,,5
tre_snls_007,A Shimmering Sky,Sunleth Waterscape,,,5
tre_snls_006,A Shimmering Sky,Sunleth Waterscape,,,5
tre_snls_008,Rain-spotted Vale,Sunleth Waterscape,,,5
tre_snls_009,Rain-spotted Vale,Sunleth Waterscape,,,5
z_ran_stg_06,Chapter 6 Crystarium Expansion,Sunleth Waterscape,,,6
