ID,Name,Location,Location ID,Charasets,Traits,Charaset Limit,Variety Limit
# Bodhum (01)
btsc01110,Forced Beach Fight,Bodhum 3,h_hm_AD0003,chset_hmaa_001|chset_hmaa_e025,,39,
btsc01120,Beach Fight Right A,Bodhum 3,h_hm_AD0003,chset_hmaa_001,,39,
btsc01130,Beach Fight Left,Bodhum 3,h_hm_AD0003,chset_hmaa_001,,39,
btsc01140,Beach Fight Right B,Bodhum 3,h_hm_AD0003,chset_hmaa_001,,39,
btsc01150,Mog Clock tutorial,Bodhum 3,h_hm_AD0003,,Info,,
btsc01160,Mog Clock skip,Bodhum 3,h_hm_AD0003,,Info,,
btsc01201,,Bodhum 3,h_hm_AD0003,,Info,,
btsc01202,,Bodhum 3/Bresha 5,h_hm_AD0003|h_bj_AD0005,,Info,,
btsc01203,,Bodhum 3/Bresha 5,h_hm_AD0003|h_bj_AD0005,,Info,,
btsc01204,,Void Beyond,h_sp_NA0100,,Info,,
btsc01210,,Bodhum 3,h_hm_AD0003,,Info,,
btsc01211,,Bodhum 3,h_hm_AD0003,,Info,,
btsc01220,Rare (Gorgonopsid),Bodhum 3,h_hm_AD0003,,Info,,
btsc01231,,Bodhum 3,h_hm_AD0003,,Info,,
btsc01232,,Bodhum 3,h_hm_AD0003,,Info,,
btsc01233,,Bodhum 3,h_hm_AD0003,,Info,,
btsc01241,,Bodhum 3,h_hm_AD0003,,Info,,
btsc01250,,Bodhum 3,h_hm_AD0003,,Info,,
btsc01260,,Bodhum 3,h_hm_AD0003,,Info,,
btsc01261,,Bodhum 3,h_hm_AD0003,,Info,,
btsc01270,Rare (Exoray),Bodhum 3,h_hm_AD0003,,Info,,
btsc01500,,Bodhum 3,h_hm_AD0003,,Info,,
btsc01501,,Bodhum 3/Bresha 5,h_hm_AD0003|h_bj_AD0005,,Info,,
btsc01502,,Void Beyond,h_sp_NA0100,,Info,,
btsc01505,,Bodhum 3,h_hm_AD0003,,Info,,
btsc01510,,Bodhum 3,h_hm_AD0003,,Info,,
btsc01521,,Bodhum 3,h_hm_AD0003,,Info,,
btsc01900,Gogmagog Alpha,Bodhum 3,h_hm_AD0003,chset_hmaa_e050,Boss,39,
btsc01910,Gogmagog Beta,Bodhum 3,h_hm_AD0003,chset_hmaa_e130,Boss,39,
# Bresha (02)
btsc02001,,Bresha 5,h_bj_AD0005,chset_bjaa_tuto,,39,
btsc02002,,Bresha 5,h_bj_AD0005,,Info,,
btsc02050,Paradigm Pack Tutorial,Bresha 5,h_bj_AD0005,chset_bjaa_tuto,,39,
btsc02101,,Bresha 5,h_bj_AD0005,,Info,,
btsc02102,,Bresha 5,h_bj_AD0005,,Info,,
btsc02103,,Bresha 5,h_bj_AD0005,,Info,,
btsc02111,,Bresha 5,h_bj_AD0005,,Info,,
btsc02112,,Bresha 5,h_bj_AD0005,,Info,,
btsc02113,,Bresha 5,h_bj_AD0005,,Info,,
btsc02121,,Bresha 5,h_bj_AD0005,,Info,,
btsc02132,,Bresha 5,h_bj_AD0005,,Info,,
btsc02141,,Bresha 5,h_bj_AD0005,,Info,,
btsc02142,,Bresha 5,h_bj_AD0005,,Info,,
btsc02150,,Bresha 5,h_bj_AD0005,,Info,,
btsc02151,,Bresha 5,h_bj_AD0005,,Info,,
btsc02160,,Bresha 5,h_bj_AD0005,,Info,,
btsc02170,Rare (Svarog),Bresha 5,h_bj_AD0005,,Info,,
btsc02181,Rare (Albino Lobo x2),Bresha 5,h_bj_AD0005,,Info,,
btsc02314,,Bresha 300,h_bj_AD0300,,Info,,
btsc02315,,Bresha 300,h_bj_AD0300,,Info,,
btsc02322,,Bresha 100/Bresha 300,h_bj_AD0100|h_bj_AD0300,,Info,,
btsc02323,,Bresha 100/Bresha 300,h_bj_AD0100|h_bj_AD0300,,Info,,
btsc02324,,Bresha 100,h_bj_AD0100,,Info,,
btsc02330,,Bresha 100,h_bj_AD0100,,Info,,
btsc02331,,Bresha 100,h_bj_AD0100,,Info,,
btsc02340,Rare (Purple Chocobo),Bresha 100/Bresha 300,h_bj_AD0100|h_bj_AD0300,,Info,,
btsc02350,Rare (Don Tonberry),Bresha 100,h_bj_AD0100,,Info,,
btsc02400,,Bresha 100,h_bj_AD0100,,Info,,
btsc02401,,Bresha 100,h_bj_AD0100,,Info,,
btsc02410,Rare (Tonberry),Bresha 300,h_bj_AD0300,,Info,,
btsc02500,,Bresha 5,h_bj_AD0005,,Info,,
btsc02501,,Bresha 5,h_bj_AD0005,,Info,,
btsc02510,,Bresha 5,h_bj_AD0005,,Info,,
btsc02511,,Bresha 5,h_bj_AD0005,,Info,,
btsc02520,,Bresha 5,h_bj_AD0005,,Info,,
btsc02521,,Bresha 5,h_bj_AD0005,,Info,,
btsc02522,,Bresha 5,h_bj_AD0005,,Info,,
btsc02530,,Bresha 5,h_bj_AD0005,,Info,,
btsc02531,,Bresha 5,h_bj_AD0005,,Info,,
btsc02532,,Bresha 5,h_bj_AD0005,,Info,,
btsc02540,,Bresha 5,h_bj_AD0005,,Info,,
btsc02542,,Bresha 5,h_bj_AD0005,,Info,,
btsc02544,,Bresha 5,h_bj_AD0005,,Info,,
btsc02550,,Bresha 5,h_bj_AD0005,,Info,,
btsc02560,Rare (Amanojaku + Notsugo x 3),Bresha 5,h_bj_AD0005,,Info,,
btsc02600,,Bresha 300,h_bj_AD0300,,Info,,
btsc02601,,Bresha 300,h_bj_AD0300,,Info,,
btsc02602,,Bresha 300,h_bj_AD0300,,Info,,
btsc02610,,Bresha 300,h_bj_AD0300,,Info,,
btsc02611,,Bresha 300,h_bj_AD0300,,Info,,
btsc02710,,Bresha 100,h_bj_AD0100,,Info,,
btsc02711,,Bresha 100,h_bj_AD0100,,Info,,
btsc02800,Ghast,Bresha 5,h_bj_AD0005,,Info|Miniboss,,
btsc02810,Kalavinka,Bresha 100,h_bj_AD0100,chset_bjba_def,Boss,39,
# Yaschas (03)
btsc03002,,Yaschas 10/Yaschas 1X,h_gy_AD0010|h_gh_AD0010,,Info,,
btsc03012,,Yaschas 10/Yaschas 110/Yaschas 1X,h_gy_AD0010|h_gy_AD0200|h_gh_AD0010,,Info,,
btsc03013,,Yaschas 10/Yaschas 1X,h_gy_AD0010|h_gh_AD0010,,Info,,
btsc03014,,Yaschas 10/Yaschas 110/Yaschas 1X,h_gy_AD0010|h_gy_AD0200|h_gh_AD0010,,Info,,
btsc03021,,Yaschas 10/Yaschas 1X,h_gy_AD0010|h_gh_AD0010,,Info,,
btsc03022,,Yaschas 110,h_gy_AD0200,,Info,,
btsc03031,,Yaschas 10/Yaschas 1X,h_gy_AD0010|h_gh_AD0010,,Info,,
btsc03041,,Yaschas 10/Yaschas 1X,h_gy_AD0010|h_gh_AD0010,,Info,,
btsc03050,Feral Behemoth,Yaschas 10/Yaschas 1X,h_gy_AD0010|h_gh_AD0010,,Info,,
btsc03062,Rare (Necrosis),Yaschas 10/Yaschas 1X,h_gy_AD0010|h_gh_AD0010,,Info,,
btsc03070,Rare (Narasimha),Yaschas 10/Yaschas 1X,h_gy_AD0010|h_gh_AD0010,,Info,,
btsc03102,,Yaschas 100,h_gy_AD0100,,Info,,
btsc03103,,Yaschas 100,h_gy_AD0100,,Info,,
btsc03104,,Yaschas 100,h_gy_AD0100,,Info,,
btsc03111,,Yaschas 100,h_gy_AD0100,,Info,,
btsc03112,,Yaschas 100,h_gy_AD0100,,Info,,
btsc03120,Rare (Green Chocobo),Yaschas 110,h_gy_AD0200,,Info,,
btsc03132,,Yaschas 100,h_gy_AD0100,,Info,,
btsc03134,,Yaschas 100,h_gy_AD0100,,Info,,
btsc03140,Rare (Deathgaze),Yaschas 100,h_gy_AD0100,,Info,,
btsc03150,Rare (Bunkerbeast),Yaschas 100,h_gy_AD0100,,Info,,
btsc03202,,Yaschas 110,h_gy_AD0200,,Info,,
btsc03203,,Yaschas 110,h_gy_AD0200,,Info,,
btsc03204,,Yaschas 110,h_gy_AD0200,,Info,,
btsc03211,,Yaschas 110,h_gy_AD0200,,Info,,
btsc03212,,Yaschas 110,h_gy_AD0200,,Info,,
btsc03221,,Yaschas 100,h_gy_AD0100,,Info,,
btsc03240,Rare (Kanna Kamuy),Yaschas 110,h_gy_AD0200,,Info,,
btsc03500,,Yaschas 10/Yaschas 1X,h_gy_AD0010|h_gh_AD0010,,Info,,
btsc03505,,Yaschas 10/Yaschas 1X,h_gy_AD0010|h_gh_AD0010,,Info,,
btsc03510,,Yaschas 10/Yaschas 1X,h_gy_AD0010|h_gh_AD0010,,Info,,
btsc03513,,Yaschas 10/Yaschas 1X,h_gy_AD0010|h_gh_AD0010,,Info,,
btsc03521,,Yaschas 10/Yaschas 1X,h_gy_AD0010|h_gh_AD0010,,Info,,
btsc03530,,Yaschas 10/Yaschas 1X,h_gy_AD0010|h_gh_AD0010,,Info,,
btsc03531,,Yaschas 10/Yaschas 1X,h_gy_AD0010|h_gh_AD0010,,Info,,
btsc03532,,Yaschas 10/Yaschas 1X,h_gy_AD0010|h_gh_AD0010,,Info,,
btsc03600,,Yaschas 100,h_gy_AD0100,,Info,,
btsc03601,,Yaschas 100,h_gy_AD0100,,Info,,
btsc03610,,Yaschas 100,h_gy_AD0100,,Info,,
btsc03611,,Yaschas 100,h_gy_AD0100,,Info,,
btsc03620,,Yaschas 100,h_gy_AD0100,,Info,,
