ID,Name,Areas,MogLevel,RequiredAreas,Requirements,Traits,Fake Items,
# Gate opening (for area logic),,,,,
# TODO: paradox ending gate entries
hs_aaea01_vp,Artefact of Wrack and Ruin Gate Open,h_aa_AD0400,,,I(opt_silver|1),Gate,hs_aaea01_vp,
# Void beyond requires use of mog level, so force it to be given before allowing gate access
hs_aaea02_sp,Vagabond Artefact Gate Open,h_aa_AD0400,1,,AND(C(Graviton|5)|I(opt_aaea02_sp|1)),Gate,hs_aaea02_sp,
hs_acea01_gt,Tower Artefact Gate Open,h_ac_AD0400,,,AND(I(boss_zenobia|1)|I(opt_acea01_gt|1)),Gate,hs_acea01_gt,
hs_acea02_gy,Artefact of Umbra Gate Open,h_ac_AD0400,,,I(opt_silver|1),Gate,hs_acea02_gy,
hs_acfa01_va,Deck Fights Gate Open,h_zz_NA0980,,,,Gate,hs_acfa01_va,
hs_acfa01_zz,Deck Fights Gate Open,h_ac_AD0500,,,I(privilege05|1),Gate,hs_acfa01_zz,
hs_bjaa01_gy,Eclipse Artefact Gate Open,h_bj_AD0005,1,,I(opt_bjaa01_gy|1),Gate,hs_bjaa01_gy,
hs_bjaa02_sn,Reunion Artefact Gate Open,h_zz_NA0910,1,,I(opt_bjaa02_sn|1),Gate,hs_bjaa02_sn,
hs_bjaa02_zz,Reunion Artefact Gate Open,h_bj_AD0005,,,I(opt_bjaa02_sn|1),Gate,hs_bjaa02_zz,
hs_bjaa03_bj,Frozen Artefact Gate Open,h_bj_AD0005,,,AND(I(opt_silver|1)|I(key_lockjail|1)),Gate,hs_bjaa03_bj,
hs_bjaa91_gd,Bresha 5 Paradox Ending,h_zz_NA0910,1,,,Gate,hs_bjaa91_gd,
hs_bjda01_gy,Artefact of Penumbra Gate Open,h_bj_AD0300,,,I(opt_silver|1),Gate,hs_bjda01_gy,
hs_ddha01_hm,Dying World Exit,h_zz_NA0960,1,,I(boss_gog_3|1),Gate,hs_ddha01_hm,
hs_ddha01_zz,Dying World Exit,h_dd_AD0700,,,I(boss_gog_3|1),Gate,hs_ddha01_zz,
hs_ddha02_bj,Overgrown Artefact Gate Open,h_dd_AD0700,3,,I(opt_silver|1),Gate,hs_ddha02_bj,
hs_ddha96_dd,Dying World Paradox Ending,h_zz_NA0960,,,,Gate,hs_ddha96_dd,
hs_gdza01_vp,Blitz Artefact Gate Open,h_gd_NA0000,1,,AND(I(boss_faeryl|1)|I(opt_silver|1)),Gate,hs_gdza01_vp,
#Technically inaccessible
hs_ghaa01_ac,Illusionary Gate Open,h_gh_AD0010,1,,I(opt_ghsn01_cs|1),Gate,hs_ghaa01_ac,
hs_ghaa01_cs,Illusionary Gate Open,h_gh_AD0010,1,,I(opt_ghsn01_cs|1),Gate,hs_ghaa01_cs,
hs_ghaa02_gt,Spire Aretfact Gate Open,h_gh_AD0010,,,I(opt_silver|1),Gate,hs_ghaa02_gt,
hs_gtca01_aa,Artefact of Rebirth Gate Open,h_zz_NA0940,,,AND(I(opt_gtca01_aa|1)|I(key_access_la|1)|I(boss_adam|1)),Gate,hs_gtca01_aa,
hs_gtca01_zz,Artefact of Rebirth Gate Open,h_gt_AD0200,,,AND(I(opt_gtca01_aa|1)|I(key_access_la|1)|I(boss_adam|1)),Gate,hs_gtca01_zz,
