ID,Name,Category,Rank,Traits,Override Buy Price,Override Sell Price,Override Count
# Accessories
acc_000_000,$acc_000_000,Accessory,1,,,,
acc_000_001,$acc_000_001,Accessory,1,,,,
acc_000_004,$acc_000_004,Accessory,1,,,,
acc_000_010,$acc_000_010,Accessory,1,,,,
acc_000_011,$acc_000_011,Accessory,1,,,,
acc_000_012,$acc_000_012,Accessory,1,,,,
acc_000_013,$acc_000_013,Accessory,1,,,,
acc_000_014,$acc_000_014,Accessory,1,,,,
acc_000_015,$acc_000_015,Accessory,1,,,,
acc_000_100,$acc_000_100,Accessory,1,,,,
acc_000_101,$acc_000_101,Accessory,1,,,,
acc_000_104,$acc_000_104,Accessory,1,,,,
acc_000_105,$acc_000_105,Accessory,1,,,,
acc_000_106,$acc_000_106,Accessory,1,,,,
acc_000_107,$acc_000_107,Accessory,1,,,,
acc_000_108,$acc_000_108,Accessory,1,,,,
acc_000_109,$acc_000_109,Accessory,1,,,,
acc_000_200,$acc_000_200,Accessory,1,,,,
acc_000_201,$acc_000_201,Accessory,1,,,,
acc_000_204,$acc_000_204,Accessory,1,,,,
acc_000_205,$acc_000_205,Accessory,1,,,,
acc_000_206,$acc_000_206,Accessory,1,,,,
acc_000_207,$acc_000_207,Accessory,1,,,,
acc_000_208,$acc_000_208,Accessory,1,,,,
acc_000_209,$acc_000_209,Accessory,1,,,,
acc_000_300,$acc_000_300,Accessory,1,,,,
acc_000_301,$acc_000_301,Accessory,1,,,,
acc_000_303,$acc_000_303,Accessory,1,,,,
acc_000_304,$acc_000_304,Accessory,1,,,,
acc_000_305,$acc_000_305,Accessory,1,,,,
acc_000_306,$acc_000_306,Accessory,1,,,,
acc_000_400,$acc_000_400,Accessory,1,,,,
acc_000_401,$acc_000_401,Accessory,1,,,,
acc_000_403,$acc_000_403,Accessory,1,,,,
acc_000_404,$acc_000_404,Accessory,1,,,,
acc_000_405,$acc_000_405,Accessory,1,,,,
acc_000_406,$acc_000_406,Accessory,1,,,,
acc_000_500,$acc_000_500,Accessory,1,,,,
acc_000_502,$acc_000_502,Accessory,1,,,,
acc_000_503,$acc_000_503,Accessory,1,,,,
acc_001_000,$acc_001_000,Accessory,1,,,,
acc_001_001,$acc_001_001,Accessory,1,,,,
acc_001_003,$acc_001_003,Accessory,1,,,,
acc_001_004,$acc_001_004,Accessory,1,,,,
acc_001_005,$acc_001_005,Accessory,1,,,,
acc_001_006,$acc_001_006,Accessory,1,,,,
acc_002_000,$acc_002_000,Accessory,1,,,,
acc_002_001,$acc_002_001,Accessory,1,,,,
acc_002_003,$acc_002_003,Accessory,1,,,,
acc_002_004,$acc_002_004,Accessory,1,,,,
acc_002_005,$acc_002_005,Accessory,1,,,,
acc_002_006,$acc_002_006,Accessory,1,,,,
acc_003_000,$acc_003_000,Accessory,1,,,,
acc_003_001,$acc_003_001,Accessory,1,,,,
acc_003_003,$acc_003_003,Accessory,1,,,,
acc_003_004,$acc_003_004,Accessory,1,,,,
acc_003_005,$acc_003_005,Accessory,1,,,,
acc_003_006,$acc_003_006,Accessory,1,,,,
acc_005_000,$acc_005_000,Accessory,1,,,,
acc_005_001,$acc_005_001,Accessory,1,,,,
acc_005_003,$acc_005_003,Accessory,1,,,,
acc_005_004,$acc_005_004,Accessory,1,,,,
acc_005_005,$acc_005_005,Accessory,1,,,,
acc_005_006,$acc_005_006,Accessory,1,,,,
acc_007_000,$acc_007_000,Accessory,1,,,,
acc_007_001,$acc_007_001,Accessory,1,,,,
acc_007_002,$acc_007_002,Accessory,1,,,,
acc_011_000,$acc_011_000,Accessory,1,,,,
acc_011_002,$acc_011_002,Accessory,1,,,,
acc_011_003,$acc_011_003,Accessory,1,,,,
acc_012_000,$acc_012_000,Accessory,1,,,,
acc_012_002,$acc_012_002,Accessory,1,,,,
acc_012_003,$acc_012_003,Accessory,1,,,,
acc_014_000,$acc_014_000,Accessory,1,,,,
acc_014_002,$acc_014_002,Accessory,1,,,,
acc_014_003,$acc_014_003,Accessory,1,,,,
acc_015_000,$acc_015_000,Accessory,1,,,,
acc_015_002,$acc_015_002,Accessory,1,,,,
acc_015_003,$acc_015_003,Accessory,1,,,,
acc_016_000,$acc_016_000,Accessory,1,,,,
acc_016_002,$acc_016_002,Accessory,1,,,,
acc_016_003,$acc_016_003,Accessory,1,,,,
acc_017_000,$acc_017_000,Accessory,1,,,,
acc_017_002,$acc_017_002,Accessory,1,,,,
acc_017_003,$acc_017_003,Accessory,1,,,,
acc_018_000,$acc_018_000,Accessory,1,,,,
