ID,Index,Name,Possible Locations,Additional Required Locations,Required Items,Traits
search_acea_001,1,Central Bridge Gate Search Item,h_aa_AD0400,h_cs_NA0000|h_gw_AD0200,,
search_acea_001,2,Central Bridge Gate Search Item,h_aa_AD0400,h_cs_NA0000|h_gw_AD0200,,
search_acea_002,1,Grand Avenue Search Item,h_aa_AD0400,h_cs_NA0000|h_gw_AD0200,,
search_acea_002,2,Grand Avenue Search Item,h_aa_AD0400,h_cs_NA0000|h_gw_AD0200,,
search_acea_002,3,Grand Avenue Search Item,h_aa_AD0400,h_cs_NA0000|h_gw_AD0200,,
search_acea_003,1,New Town Search Item,h_aa_AD0400,h_cs_NA0000|h_gw_AD0200,,
search_acea_003,2,New Town Search Item,h_aa_AD0400,h_cs_NA0000|h_gw_AD0200,,
search_acea_004,1,Research Facility Search Item,h_aa_AD0400,h_cs_NA0000|h_gw_AD0200,,
search_acea_004,2,Research Facility Search Item,h_aa_AD0400,h_cs_NA0000|h_gw_AD0200,,
search_acea_005,0,Research Facility Projector Search Item,h_aa_AD0400,h_cs_NA0000|h_gw_AD0200,,
search_acea_005,2,Research Facility Projector Search Item,h_aa_AD0400,h_cs_NA0000|h_gw_AD0200,,
search_bjaa_001,1,Echoes of the Past Search Item,h_bj_AD0300,h_cs_NA0000|h_gw_AD0200,,
search_bjaa_001,2,Echoes of the Past Search Item,h_bj_AD0300,h_cs_NA0000|h_gw_AD0200,,
search_bjaa_002,0,Excavation Site Atlas' Hand Search Item,h_bj_AD0005,h_cs_NA0000|h_gw_AD0200,,
search_clza_001,1,Coliseum Search Item,h_cl_NA0000,h_cs_NA0000|h_gw_AD0200,,
search_clza_001,2,Coliseum Search Item,h_cl_NA0000,h_cs_NA0000|h_gw_AD0200,,
search_clza_002,1,Coliseum Search Item,h_cl_NA0000,h_cs_NA0000|h_gw_AD0200,,
search_clza_002,2,Coliseum Search Item,h_cl_NA0000,h_cs_NA0000|h_gw_AD0200,,
search_clza_003,1,Coliseum Search Item,h_cl_NA0000,h_cs_NA0000|h_gw_AD0200,,
search_clza_003,2,Coliseum Search Item,h_cl_NA0000,h_cs_NA0000|h_gw_AD0200,,
search_ddha_001,1,Beaten Path Search Item,h_dd_AD0700,h_cs_NA0000|h_gw_AD0200,,
search_ddha_001,2,Beaten Path Search Item,h_dd_AD0700,h_cs_NA0000|h_gw_AD0200,,
search_ddha_001,3,Beaten Path Search Item,h_dd_AD0700,h_cs_NA0000|h_gw_AD0200,,
search_ddha_002,1,The Dead Sands Search Item,h_dd_AD0700,h_cs_NA0000|h_gw_AD0200,,
search_ddha_002,2,The Dead Sands Search Item,h_dd_AD0700,h_cs_NA0000|h_gw_AD0200,,
search_ddha_002,3,The Dead Sands Search Item,h_dd_AD0700,h_cs_NA0000|h_gw_AD0200,,
search_ddha_003,1,The Border Search Item,h_dd_AD0700,h_cs_NA0000|h_gw_AD0200,,
search_ddha_003,2,The Border Search Item,h_dd_AD0700,h_cs_NA0000|h_gw_AD0200,,
search_ddha_004,1,Abyssal Fissure Search Item,h_dd_AD0700,h_cs_NA0000|h_gw_AD0200,,
search_ddha_004,2,Abyssal Fissure Search Item,h_dd_AD0700,h_cs_NA0000|h_gw_AD0200,,
search_ddha_005,1,The Black Sands Chocolina Search Item,h_dd_AD0700,h_cs_NA0000|h_gw_AD0200,,
search_ddha_005,2,The Black Sands Chocolina Search Item,h_dd_AD0700,h_cs_NA0000|h_gw_AD0200,,
search_ddha_005,3,The Black Sands Chocolina Search Item,h_dd_AD0700,h_cs_NA0000|h_gw_AD0200,,
search_gdza_001,0,Plains of Eternity Flower Patch Search Item,h_gd_NA0000,h_cs_NA0000|h_gw_AD0200,,
search_gdza_001,2,Plains of Eternity Flower Patch Search Item,h_gd_NA0000,h_cs_NA0000|h_gw_AD0200,,
search_gdza_002,0,Clearwater Marshes Lake Search Item,h_gd_NA0000,h_cs_NA0000|h_gw_AD0200,,
search_gdza_003,1,Nomad Camp Search Item,h_gd_NA0000,h_cs_NA0000|h_gw_AD0200,,
search_gdza_003,2,Nomad Camp Search Item,h_gd_NA0000,h_cs_NA0000|h_gw_AD0200,,
search_gdza_004,1,Plains of Eternity Search Item,h_gd_NA0000,h_cs_NA0000|h_gw_AD0200,,
search_gdza_004,2,Plains of Eternity Search Item,h_gd_NA0000,h_cs_NA0000|h_gw_AD0200,,
search_gdza_005,1,Stonestump Wastelands Cactuar Search Item,h_gd_NA0000,h_cs_NA0000|h_gw_AD0200,,
search_gdza_005,2,Stonestump Wastelands Cactuar Search Item,h_gd_NA0000,h_cs_NA0000|h_gw_AD0200,,
search_gdza_005,3,Stonestump Wastelands Cactuar Search Item,h_gd_NA0000,h_cs_NA0000|h_gw_AD0200,,
search_gdza_006,1,Clearwater Marshes Search Item,h_gd_NA0000,h_cs_NA0000|h_gw_AD0200,,
search_gdza_006,2,Clearwater Marshes Search Item,h_gd_NA0000,h_cs_NA0000|h_gw_AD0200,,
search_gdza_006,3,Clearwater Marshes Search Item,h_gd_NA0000,h_cs_NA0000|h_gw_AD0200,,
search_gtca_001,1,50th Floor Search Item,h_gt_AD0200,h_cs_NA0000|h_gw_AD0200,,
search_gtca_001,2,50th Floor Search Item,h_gt_AD0200,h_cs_NA0000|h_gw_AD0200,,
search_gtda_001,1,12th Floor Search Item,h_gt_AD0300,h_cs_NA0000|h_gw_AD0200,,
search_gtda_001,2,12th Floor Search Item,h_gt_AD0300,h_cs_NA0000|h_gw_AD0200,,
search_gtda_002,1,14th Floor Search Item,h_gt_AD0300,h_cs_NA0000|h_gw_AD0200,,
search_gtda_002,2,14th Floor Search Item,h_gt_AD0300,h_cs_NA0000|h_gw_AD0200,,
