ID,BasePower,HitMultiplier,ATBCost,MenuIcon
ac300_00,-100,1,5,28
ap000_00,250,1,15,26
ap100_00,35,1,20,26
ap200_00,150,1,10,26
ap300_00,20,1,15,27
ap400_00,150,1,20,26
at010_00,100,1,10,26
at010_10,85,1,15,26
at010_20,85,1,15,26
at010_30,85,1,15,26
at010_50,85,1,15,26
at015_00,60,1,15,26
at060_00,55,1,5,26
at130_00,75,1,40,26
at150_00,125,1,20,26
at160_00,100,1,10,26
at520_00,180,1,20,26
at620_00,30,1,5,26
at620_10,150,1,25,26
at620_20,150,1,25,26
at620_30,150,1,25,26
at620_50,150,1,25,26
at700_00,25,1,5,26
at800_00,400,1,50,26
av010_00,4,1,15,28
aw010_00,100,1,10,26
aw100_00,800,1,50,26
aw100_50,350,1,20,26
aw200_00,80,1,10,26
aw300_00,300,1,150,26
aw410_00,350,1,40,26
aw420_00,350,1,40,26
aw430_00,350,1,40,26
aw440_00,350,1,40,26
aw500_00,55,1,10,26
ga010_00,0,1,30,28
ga110_00,0,1,30,28
gd010_00,25,1,10,28
gd020_00,40,1,10,28
gd030_00,25,1,5,28
gd040_00,50,1,15,28
gd110_00,25,1,15,28
gd510_00,25,1,20,28
gd810_00,99,1,20,28
ma000_00,90,1,10,27
ma005_00,60,1,15,27
ma020_00,300,1,50,27
ma100_00,12,4,15,27
mb000_00,85,1,15,27
mb005_00,55,1,15,27
mb006_00,85,1,15,27
mb010_00,120,1,25,27
mb020_00,350,1,40,27
mb030_00,2000,1,100,27
mb100_00,85,1,15,27
mb105_00,55,1,15,27
mb106_00,85,1,15,27
mb110_00,120,1,25,27
mb120_00,350,1,40,27
mb130_00,2000,1,100,27
mb200_00,85,1,15,27
mb206_00,85,1,15,27
mb210_00,120,4,25,27
mb220_00,350,8,40,27
mb230_00,2000,1,100,27
mb400_00,85,1,15,27
mb406_00,85,1,15,27
mb410_00,120,4,25,27
mb420_00,350,8,40,27
mb430_00,2000,1,100,27
mc100_00,120,2,20,27
mc110_00,220,5,40,27
mc200_00,120,2,20,27
mc210_00,220,5,40,27
mc300_00,120,2,20,27
mc310_00,220,5,40,27
mc400_00,120,2,20,27
mc410_00,220,5,40,27
mc900_00,140,4,20,27
mc910_00,280,10,40,27
mg000_00,60,1,25,31
mg010_00,60,1,25,31
mg020_00,30,1,25,31
mg030_00,60,1,25,31
mg200_00,30,1,40,31
mg210_00,30,1,40,31
mg220_00,20,1,40,31
mg230_00,30,1,40,31
mg240_00,0,1,35,31
mg250_00,0,1,60,31
mg500_00,30,1,25,31
mg530_00,30,1,25,31
mg560_00,60,1,25,31
mg570_00,60,1,25,31
mg700_00,20,1,40,31
mg730_00,20,1,40,31
mg760_00,30,1,40,31
mg770_00,30,1,40,31
mg900_00,20,1,100,31
mic070_00,80,1,10,26
mic100_00,35,1,15,28
ms900_00,2000,1,100,27
ms910_00,2000,1,100,27
xx010_00,200,1,15,26
