ID,Name,Upgrade Into
awp_scene1,Arsenal of One,awp_scene2
awp_scene2,Arsenal of One+,
aa_rat600_00,Artemis's Arrows,
acc_a_8000,ATB Cost +10,acc_a_8010
acc_a_8001,ATB Cost +10,acc_a_8010
acc_a_8002,ATB Cost +10,acc_a_8010
acc_a_8010,ATB Cost -5,
acc_a_8011,ATB Cost -5,
acc_a_8012,ATB Cost -5,
acc_a_8410b,ATB Recovery -35,acc_a_8411b
acc_a_8411b,ATB Recovery -30,acc_a_5300
acc_a_8412b,ATB Recovery -30,acc_a_5300
acc_a_5300,ATB Recovery +5,acc_a_5301
wear_sp005,ATB Recovery +5,acc_a_5301
acc_a_5301,ATB Recovery +7,acc_a_5302
acc_a_5302,ATB Recovery +10,acc_a_9151
acc_a_9150,ATB Recovery +10,acc_a_9151
wear_sp010,ATB Recovery +10,acc_a_9151
acc_a_9151,ATB Recovery +12,acc_a_5200
acc_a_5200,ATB Recovery +15,acc_a_5201
acc_a_9152,ATB Recovery +15,acc_a_5201
wear_sp015,ATB Recovery +15,acc_a_5201
acc_a_5201,ATB Recovery +17,acc_a_5202
acc_a_5202,ATB Recovery +20,wear_sp025
wear_sp020,ATB Recovery +20,wear_sp025
wear_sp025,ATB Recovery +25,wear_sp030
wear_sp030,ATB Recovery +30,acc_a_9200
acc_a_9200,ATB Recovery +70,acc_a_9201
acc_a_9201,ATB Recovery +100,acc_a_9202
acc_a_9202,ATB Recovery +150,
wear80_550,ATB Recycler,
spa_6000,Auto Bravery (15 secs),spa_6001
spa_6001,Auto Bravery (30 secs),
acc_b_6060,Auto Enaero (60 secs),
acc_b_6030,Auto Enfire (60 secs),
acc_b_6040,Auto Enfrost (60 secs),
acc_b_6050,Auto Enthunder (60 secs),
spa_6010,Auto Faith (15 secs),spa_6011
spa_6011,Auto Faith (30 secs),
spa_6020,Auto Haste (15 secs),spa_6021
spa_6021,Auto Haste (30 secs),
awp_regen1,Auto-Regen (15 secs),awp_regen2
awp_regen2,Auto-Regen (30 secs),
aa_rat000_00,Blindside,
wear_cg210,Blitz Ace,
aa_rat200_00,Brave Thief,
aa_rat210_00,Brave Thief,
aa_rat240_00,Brave Thief,
wear_cg030,Bravery Guard,
spa_9000,Chance Reprieve,
wear_upat_30,Climactic,
acc_a_8400,Combo Crush,acc_a_8402
acc_a_8401,Combo Crush,acc_a_8402
acc_a_8402,Combo Crush+,
wear80_560,Committal,
acc_b_9080,Critical Barrier,awp_wdef201_0
awp_wdef200_0,Critical Barrier,awp_wdef201_0
awp_wdef201_0,Critical Barrier+,
spa_6130,Critical Bravery (20 secs),spa_6131
spa_6131,Critical Bravery (40 secs),spa_6132
spa_6132,Critical Bravery (60 secs),spa_6135
spa_6135,Critical Bravery + Haste (60 secs),
spa_6140,Critical Faith (20 secs),spa_6141
spa_6141,Critical Faith (40 secs),spa_6142
spa_6142,Critical Faith (60 secs),spa_6145
spa_6145,Critical Faith + Haste (60 secs),
spa_6150,Critical Haste (20 secs),spa_6151
spa_6151,Critical Haste (40 secs),spa_6152
spa_6152,Critical Haste (60 secs),spa_6155|spa_6145|spa_6135
spa_6155,Critical Haste + Vigilance (60 secs),
spa_6105,Critical Protect + Regen (60 secs),
spa_6120,Critical Regen (20 secs),spa_6121
spa_6121,Critical Regen (30 secs),spa_6122
spa_6122,Critical Regen (45 secs),spa_6115
spa_6115,Critical Shell + Regen (60 secs),
spa_6162,Critical Vigilance + Veil (180 secs),
spa_6160,Critical Vigilance + Veil (45 secs),spa_6161
spa_6161,Critical Vigilance + Veil (90 secs),spa_6162
acc_a_8130,Cruel Healer,
acc_a_8131,Cruel Healer,
acc_a_8132,Cruel Healer,
acc_b_3100,Defender Lv. 1,acc_b_3101
acc_b_3101,Defender Lv. 2,acc_b_3102
acc_b_3102,Defender Lv. 3,
awp_wdef110_0,Defender's HP Restore 1%,awp_wdef112_0
awp_wdef111_0,Defender's HP Restore 1%,awp_wdef112_0
awp_wdef112_0,Defender's HP Restore 2%,awp_wdef114_0
awp_wdef113_0,Defender's HP Restore 2%,awp_wdef114_0
awp_wdef114_0,Defender's HP Restore 3%,
wear70_060,Defensive Position,
aa_rat100_00,Deprotect Chaser,
aa_rat110_00,Deprotect Chaser,
aa_rat120_00,Deprotect Chaser,
aa_rat130_00,Deprotect Chaser,
acc_a_1140,Element Resistance -33%,
acc_a_1141,Element Resistance -36%,acc_a_1140
acc_a_1142,Element Resistance -40%,acc_a_1141
aa_rat300_00,Elemental Chaser,
aa_rat310_00,Elemental Chaser,
aa_rat320_00,Elemental Chaser,
aa_rat330_00,Elemental Chaser,
wear_upat_70,Energized,
acc_b_7200,EP Conservation,
wear_rgp_d,EP Vengeance,
wear_cg080,Esuna Guard,
wear_cg040,Faith Guard,
awp_wdef050_0,Fire Guard +70%,awp_wdef051_0
awp_wdef051_0,Fire Guard +80%,awp_wdef052_0
awp_wdef052_0,Fire Guard +90%,acc_a_9010
spa_0100,Fire-Attribute Attacks +10%,spa_0101
spa_0101,Fire-Attribute Attacks +12%,spa_0102
spa_0102,Fire-Attribute Attacks +15%,acc_a_9160
acc_a_9160,Fire-Attribute Attacks +20%,acc_a_9161
spa_0103,Fire-Attribute Attacks +20%,acc_a_9161
acc_a_9161,Fire-Attribute Attacks +22%,acc_a_9162
acc_a_9162,Fire-Attribute Attacks +25%,acc_b_0100
acc_b_0100,Fire-Attribute Attacks +30%,acc_b_0101
acc_b_0101,Fire-Attribute Attacks +32%,acc_b_0102
acc_b_0102,Fire-Attribute Attacks +35%,
acc_a_9190,Fixed Damage +10,acc_a_9191
acc_a_9191,Fixed Damage +100,acc_a_9192
acc_a_9192,Fixed Damage +1000,
wear_cg220,Grace Guard,
acc_b_9070,Grace Period,
wear80_570,Grand Wizard,
wear_cg090,Great Gospel,
spa_7100,Group Defense +16%,spa_7101
spa_7101,Group Defense +18%,spa_7102
spa_7102,Group Defense +20%,
wear_gdup0,Guard Efficiency +10%,wear_gdup5
wear_gdup5,Guard Efficiency +14%,wear_gdup1
wear_gdup1,Guard Efficiency +15%,wear_gdup6
wear_gdup6,Guard Efficiency +18%,wear_gdup2
wear_gdup2,Guard Efficiency +20%,wear_gdup7
wear_gdup7,Guard Efficiency +22%,awp_wdef000_0
awp_wdef000_0,Guard Efficiency +30%,awp_wdef001_0
awp_wdef001_0,Guard Efficiency +35%,awp_wdef002_0
awp_wdef002_0,Guard Efficiency +40%,awp_wdef010_0
awp_wdef010_0,Guard Efficiency +60%,awp_wdef011_0
awp_wdef011_0,Guard Efficiency +65%,awp_wdef012_0
awp_wdef012_0,Guard Efficiency +70%,awp_wdef020_0
awp_wdef020_0,Guard Efficiency +75%,awp_wdef021_0
awp_wdef021_0,Guard Efficiency +80%,awp_wdef022_0
awp_wdef022_0,Guard Efficiency +85%,
shi_da00_0,Guard Efficiency +50,shi_da03_0
shi_ea08_0,Guard Efficiency +50,shi_da03_0
